firm_id,firm_name,date,rd_exp,capx,oancf,assets,ppe,cash,debt,industry,TEJ子產業代碼,mkt_cap,year,firm_findep,findep_s,log_rd,size,cash_ratio,tangibility,leverage,tobin_q,monetary_tightening,inter_tight_findep
4169,泰宗,2026/06,69010.0,892.0,-49189,2104265,264846,896730,149823,17C,17C1C,14448960.0,2026,56.14461883408072,0.008617877337973031,11.142021191163188,14.559476795478973,0.42614879779875636,0.1258615240951116,0.07119968254948877,6.937711267354635,,
4171,瑞基,2026/06,27303.0,8793.0,4106,858119,189660,151332,276640,17G,17G3,984066.0,2026,0.5330376435801205,0.3552450874748451,10.214788490586542,13.662498063491581,0.1763531631393781,0.22101829699610426,0.32237953011179105,1.4691505490497239,,
4173,久裕,2026/06,0.0,17581.0,447823,5178133,57341,725648,3287437,17X,17X9,1338603.0,2026,-24.47198680393607,-5.350321019125554,0.0,15.459955124556643,0.14013699532244536,0.011073682348444892,0.6348691700271121,0.893379911253728,,
4174,浩鼎,2026/06,438865.0,7145.0,-642042,2689941,602707,313264,495559,17C,17C1D,3960558.0,2026,90.858922323303,0.008617877337973031,12.991949406282394,14.805029818251986,0.1164575728612635,0.22405956115766107,0.1842267172402666,1.6565854046612918,,
4175,杏一,2026/06,0.0,86138.0,472990,7307122,2041056,479083,5777313,17X,17X2,2230422.0,2026,-4.49107246511412,-5.350321019125554,0.0,15.80436004695257,0.06556384305613072,0.2793241990485447,0.7906413770017799,1.0958808406373945,,
4183,福永生技,2026/06,14820.0,5988.0,18935,503190,79873,131563,235840,17G,17G3,316540.0,2026,-2.1621576486305947,0.3552450874748451,9.603800372956915,13.12872311135691,0.26145789860688806,0.1587332816629901,0.4686897593354399,1.0977563147121365,,
4192,杏國,2026/06,12370.0,20.0,-13702,239776,643,138689,20599,17C,17C1C,705058.0,2026,686.1,0.008617877337973031,9.423110302862831,12.953599103928836,0.5784106833044175,0.002681669558254371,0.0859093487254771,3.0263954691044974,,
4195,基米-創,2026/06,41128.0,12926.0,-56453,1451102,604484,155468,702592,17H,17H2,,2026,5.367399040693177,-0.7823743533806006,10.624468747775484,14.187833825742999,0.10713788555180821,0.41656892485848684,0.4841782314406568,,,
4198,欣大健康,2026/06,3765.0,2443.0,-26412,353988,17357,73466,101621,17G,17G1,945034.0,2026,11.811297584936554,0.3552450874748451,8.233768709217097,12.953599103928836,0.20753810863645095,0.04903273557295727,0.2870747030972801,2.9567527712803825,,
4205,中華食,2026/06,1333.0,16734.0,155923,2866071,1073189,1298228,699066,12Z,12Z,7108847.0,2026,-8.317736345165532,-1.7185556498950278,7.195937226475569,14.868452660266474,0.45296435433734894,0.3744460622224641,0.24391091497733308,2.724256656586665,,
4207,環泰,2026/06,6745.0,147591.0,238210,6605232,2623937,860847,2534988,12Z,12Z,3841710.0,2026,-0.6139873027488126,-1.7185556498950278,8.816705015621595,15.703372620227073,0.1303280490374903,0.39725130018143195,0.38378485418831615,0.9654010638839029,,
4303,信立,2026/06,19545.0,169340.0,-251883,4894043,2238830,109727,1032861,13A,13A6,4384942.0,2026,2.487439470886973,0.7975761201212441,9.880525940898782,15.403529309215056,0.02242052225532142,0.4574602225603657,0.21104452903254017,1.1070199015415272,,
4304,勝昱,2026/06,55.0,5227.0,-75560,657370,75405,38289,345955,13A,13A8,1263487.0,2026,15.455710732733882,0.7975761201212441,4.02535169073515,13.396002304853972,0.05824573679967142,0.11470709037528333,0.5262713540319759,2.4483046077551456,,
4305,世坤,2026/06,7986.0,2398.0,90109,1569823,285067,247765,362980,13A,13A8,2527893.0,2026,-36.5767306088407,0.7975761201212441,8.985570498917388,14.266473432115486,0.1578298954722921,0.1815918100320864,0.23122352010385885,1.8415279939203337,,
4306,炎洲,2026/06,52623.0,339572.0,-151313,39748141,7671131,2799841,25050537,13A,13A9,10760436.0,2026,1.445599166008976,0.7975761201212441,10.870927568428838,17.498073630675393,0.07043954583938906,0.1929934534548421,0.6302316629097194,0.9009471159921668,,
4401,東隆興,2026/06,9476.0,143121.0,332663,5759936,2750921,840727,3002617,14A,14A7,1705419.0,2026,-1.3243479293744453,-3.6266158013002023,9.156623089470195,15.566436921499234,0.14596117040189335,0.4775957580084223,0.5212934657607307,0.8173764430715896,,
4406,新昕纖,2026/06,636.0,119.0,59502,839686,271002,131599,232298,14A,14A2,513929.0,2026,-499.01680672268907,-3.6266158013002023,6.456769655572163,13.640783291411491,0.15672406113713935,0.3227420726319124,0.2766486519961033,0.8886976798469904,,
4413,飛寶企業,2026/06,0.0,444.0,78266,497342,128329,218851,155391,14C,14C2,472857.0,2026,-175.27477477477478,-0.3929749264102676,0.0,13.117033197199357,0.44004125933462285,0.2580296858097647,0.3124429467046821,1.2632112309034829,,
4414,如興,2026/06,0.0,167735.0,246859,13681595,2490530,373929,9256897,14C,14C1,2447633.0,2026,-0.4717202730497511,-0.3929749264102676,0.0,16.43156205692943,0.02733080463206227,0.18203506243241377,0.6765948707003825,0.8554945530839058,,
4416,三圓,2026/06,0.0,774.0,626702,13457244,838,17412,11513212,25A,25A,849918.0,2026,-808.6925064599483,10.140183271179907,0.0,16.4150281063866,0.010873449336980059,0.0008501028267625401,0.8555401091040632,0.9186970229565579,,
4417,金洲,2026/06,454.0,57453.0,87597,5330903,1450004,959031,1754337,14Z,14Z,4022211.0,2026,-0.5246723408699284,-0.5719390147236393,6.12029741895095,15.489031200178845,0.1799002908137702,0.27199969686186376,0.32908814885583176,1.0835965313943998,,
4419,皇家美食,2026/06,0.0,26277.0,98369,2914014,499045,261876,1936366,27A,27A2,8458150.0,2026,-2.743539977927465,-2.1087227344526234,0.0,14.885042070118333,0.08986779061459554,0.17125689855985593,0.6645012686967187,3.567078263865582,,
4420,光明,2026/06,0.0,298.0,218071,1612706,98757,118309,192009,14C,14C2,1426039.0,2026,-730.7818791946308,-0.3929749264102676,0.0,14.293424071430465,0.07336055052811857,0.06123682803933265,0.11906013867375703,1.0033124450457802,,
4426,利勤,2026/06,4629.0,23501.0,-35271,4115633,2670905,207988,2372027,14C,14C2,1362422.0,2026,2.50082975192545,-0.3929749264102676,8.440312147080279,15.230303207723587,0.05053609007411496,0.6489657848501069,0.5763456071034516,0.9073814404734338,,
4430,耀億,2026/06,31960.0,59347.0,96095,3571448,1614805,366952,1818588,14Z,14Z,984795.0,2026,-0.6192056885773501,-0.5719390147236393,10.372271688502106,15.088481673762365,0.10274600106175423,0.45214294034240454,0.5092018699418275,0.7849429699102437,,
4432,銘旺實,2026/06,0.0,7101.0,35465,1845843,210540,809303,268771,14C,14C1,779071.0,2026,-3.9943669905647092,-0.3929749264102676,0.0,14.428446641674022,0.43844628172601896,0.11406170513960288,0.14560880854980623,0.6053234953580162,,
4433,興采,2026/06,20492.0,78661.0,320566,6478659,4123482,899171,4563342,14C,14C2,1299560.0,2026,-3.0752850840950408,-0.3929749264102676,9.927838643399959,15.684024102468056,0.13878967854304416,0.6364715290618013,0.7043652089112886,0.9049561027984341,,
4438,廣越,2026/06,128685.0,150573.0,-3250889,21501727,3536427,1984972,10777292,14C,14C1,6737445.0,2026,22.59011907845364,-0.3929749264102676,11.765130607558453,16.88364381545336,0.09231686366402103,0.16447176545400283,0.5012291338272502,0.8145734991426503,,
4439,冠星-KY,2026/06,3005.0,254210.0,-49329,7306550,2521305,405994,3869258,14C,14C2,3476088.0,2026,1.194048227843122,-0.3929749264102676,8.00836557031292,15.804281764095219,0.055565759489772874,0.34507462482293283,0.5295601891453559,1.0053097563145397,,
4440,宜新實業,2026/06,1462.0,5630.0,288414,2076626,1091387,52425,740768,14A,14A2,1166066.0,2026,-50.22806394316164,-3.6266158013002023,7.288244401020124,14.546255019239258,0.025245277676384674,0.5255578038606855,0.35671709783080824,0.9182366011019798,,
4441,振大環球,2026/06,3643.0,47844.0,375749,9901399,481052,853302,3021068,14C,14C1,12817088.0,2026,-6.853628459158934,-0.3929749264102676,8.200837258379849,16.108186618252372,0.08617994285454005,0.0485842455192443,0.3051152670445863,1.5995876946277996,,
4502,健信,2026/06,8421.0,11122.0,-77376,2371778,917226,93987,1839360,15D,15D,905153.0,2026,7.957022118324042,0.030322615797322407,9.038602608721874,14.679150442814192,0.03962723324021051,0.3867250644874858,0.7755194626141232,1.157154253054038,,
4503,金雨,2026/06,14429.0,2982.0,63060,2514875,349126,1111924,647949,23A,23A5A,3265652.0,2026,-20.14688128772636,4.400151586482101,9.577064651767916,14.737733658491537,0.4421388737014762,0.1388243948506387,0.2576466027138526,1.556181122322183,,
4506,崇友,2026/06,24078.0,10447.0,581223,11763838,1048949,3686161,6063691,15Z,15Z,21329946.0,2026,-54.63539772183402,-2.311034166434844,10.089095370321234,16.280540807734955,0.3133468005934798,0.08916724286750634,0.5154517598763261,2.3286309281035664,,
4510,高鋒,2026/06,29449.0,8844.0,-194675,5572787,1534402,498027,3422387,15A,15A1,4555280.0,2026,23.012098597919493,-2.2784211804366263,10.290449189079732,15.533405845832037,0.08936767186687739,0.2753383540408058,0.6141248535068718,1.4315399099229882,,
4513,福裕,2026/06,20429.0,1294.0,-209675,4254506,233748,424655,2695932,15A,15A1,2372073.0,2026,163.03632148377125,-2.2784211804366263,9.924759687811667,15.263489214542233,0.09981299826583862,0.05494127872895232,0.6336651070653091,1.1912088030901824,,
